,latitude,location,longitude,name,station_id,status,start_count,end_count
0,30.27041,(30.27041 -97.75046),-97.75046,West & 6th St.,2537,active,11689,13783
1,30.26452,(30.26452 -97.7712),-97.7712,Barton Springs Pool,2572,active,11810,10733
2,30.27595,(30.27595 -97.74739),-97.74739,ACC - Rio Grande & 12th,2545,closed,1749,1309
3,30.2848,(30.2848 -97.72756),-97.72756,Red River & LBJ Library,1004,closed,576,539
4,30.26694,(30.26694 -97.74939),-97.74939,Nueces @ 3rd,1008,moved,4307,4163
5,30.26751,(30.26751 -97.74802),-97.74802,Republic Square,2500,moved,453,433
6,30.24891,(30.24891 -97.75019),-97.75019,South Congress & Elizabeth,2504,active,11932,10383
7,30.26461,(30.26461 -97.73049),-97.73049,Waller & 6th St.,2536,closed,5664,5630
8,30.26217,(30.26217 -97.72743),-97.72743,Plaza Saltillo,2542,active,9729,10810
9,30.28576,(30.28576 -97.74181),-97.74181,UT West Mall @ Guadalupe,2548,active,10855,9219
10,30.27336,(30.27336 -97.73805),-97.73805,State Capitol Visitors Garage @ San Jacinto & 12th,2561,active,4682,3748
11,30.26735,(30.26735 -97.73933),-97.73933,Trinity & 6th Street,2565,active,10721,12945
12,30.26717,(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active,18833,17983
13,30.26854,(30.26854 -97.73646),-97.73646,Red River & 8th Street,2571,active,9154,9158
14,30.25802,(30.25802 -97.7391),-97.7391,Rainey @ River St,2576,closed,3048,2936
15,30.25579,(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active,23120,22368
16,30.26911,(30.26911 -97.7462),-97.7462,Guadalupe & 6th,3294,active,931,885
17,30.27466,(30.27466 -97.77028),-97.77028,MoPac Pedestrian Bridge @ Veterans Drive,3377,active,8436,8260
18,30.25839,(30.25839 -97.74592),-97.74592,South Congress & Barton Springs at the Austin American-Statesman,3513,active,5528,5688
19,30.26697,(30.26697 -97.74929),-97.74929,Nueces & 3rd,3621,active,2058,1869
20,30.26332,(30.26332 -97.74508),-97.74508,Congress & Cesar Chavez,3684,active,182,193
21,30.27217,(30.27217 -97.75246),-97.75246,Henderson & 9th,3685,active,96,103
22,30.26406,(30.26406 -97.76385),-97.76385,Sterzing at Barton Springs,3686,active,198,234
23,30.27907,(30.27907 -97.73715),-97.73715,State Parking Garage @ Brazos & 18th,1005,closed,247,270
24,30.25103,(30.25103 -97.74926),-97.74926,South Congress & James,2503,active,14376,14616
25,30.2659,(30.2659 -97.76822),-97.76822,Zilker Park,2574,active,13302,15238
26,30.26304,(30.26304 -97.75824),-97.75824,Toomey Rd @ South Lamar,2712,closed,3439,3361
27,30.26774,(30.26774 -97.74692),-97.74692,Republic Square @ Guadalupe & 4th St.,2550,moved,10781,11473
28,30.26912,(30.26912 -97.73986),-97.73986,San Jacinto & 8th Street,2562,active,8595,7510
29,30.25226,(30.25226 -97.74854),-97.74854,South Congress & Academy,2570,active,14173,13724
30,30.26446,(30.26446 -97.75665),-97.75665,Riverside @ S. Lamar,2575,active,27383,27100
31,30.27193,(30.27193 -97.73854),-97.73854,11th & San Jacinto,3291,active,2981,1929
32,30.26753,(30.26753 -97.74805),-97.74805,Republic Square @ Federal Courthouse Plaza,3455,active,3741,3547
33,30.26889,(30.26889 -97.74525),-97.74525,Lavaca & 6th,1007,active,3994,4150
34,30.25895,(30.25895 -97.71475),-97.71475,East 6th & Pedernales St.,2544,active,4194,3891
35,30.26032,(30.26032 -97.71899),-97.71899,East 6th at Robert Martinez,2822,active,5868,5509
36,30.25987,(30.25987 -97.72373),-97.72373,East 4th & Chicon,3292,active,3343,3536
37,30.25542,(30.25542 -97.71665),-97.71665,East 2nd & Pedernales,3293,active,2603,2583
38,30.27186,(30.27186 -97.73997),-97.73997,OFFICE/Main/Shop/Repair,1001,active,337,660
39,30.25971,(30.25971 -97.75346),-97.75346,Palmer Auditorium,2567,active,14385,13169
40,30.26455,(30.26455 -97.73165),-97.73165,Medina & East 6th,3660,active,1563,1444
41,30.26483,(30.26483 -97.739),-97.739,Convention Center / 4th St. @ MetroRail,2498,active,23899,26439
42,30.26426,(30.26426 -97.74023),-97.74023,Convention Center / 3rd & Trinity,2539,active,13903,15733
43,30.26019,(30.26019 -97.73845),-97.73845,Davis at Rainey Street,2563,active,22008,21632
44,30.26896,(30.26896 -97.72843),-97.72843,East 11th St. at Victory Grill,2568,active,5031,3780
45,30.26968,(30.26968 -97.73074),-97.73074,East 11th St. & San Marcos,2569,active,8755,6617
46,30.2587,(30.2587 -97.74872),-97.74872,Barton Springs & Riverside,2502,active,15464,16151
47,30.27624,(30.27624 -97.74831),-97.74831,ACC - West & 12th Street,2546,closed,4472,4184
48,30.262,(30.262 -97.76118),-97.76118,Barton Springs @ Kinney Ave,2711,active,15230,15851
49,30.26383,(30.26383 -97.72864),-97.72864,6th & Navasota St.,1002,closed,1283,1017
50,30.27106,(30.27106 -97.74563),-97.74563,8th & Guadalupe,1003,closed,577,507
51,30.26587,(30.26587 -97.76826),-97.76826,Zilker Park West,1006,ACL only,1354,1659
52,30.2698,(30.2698 -97.74186),-97.74186,8th & Congress,2496,active,12851,13913
53,30.2726,(30.2726 -97.74127),-97.74127,Capitol Station / Congress & 11th,2497,active,19878,16977
54,30.26476,(30.26476 -97.74678),-97.74678,City Hall / Lavaca & 2nd,2499,active,27819,32497
55,30.25941,(30.25941 -97.74971),-97.74971,Long Center @ South 1st & Riverside,2549,active,15708,16643
56,30.28118,(30.28118 -97.75219),-97.75219,Pease Park,3464,active,668,560
57,30.28039,(30.28039 -97.73809),-97.73809,Bullock Museum @ Congress & MLK,2538,active,10799,9101
58,30.27974,(30.27974 -97.74254),-97.74254,17th & Guadalupe,2540,active,7357,5534
59,30.28395,(30.28395 -97.74198),-97.74198,Guadalupe & 21st,2547,moved,6863,7423
60,30.2563,(30.2563 -97.71007),-97.71007,Capital Metro HQ - East 5th at Broadway,2823,active,2456,2452
61,30.26025,(30.26025 -97.71002),-97.71002,East 7th & Pleasant Valley,3381,closed,550,510
62,30.26754,(30.26754 -97.74154),-97.74154,Brazos & 6th,3390,active,7228,7659
63,30.26822,(30.26822 -97.74285),-97.74285,6th & Congress,3619,active,2290,2586
64,30.27616,(30.27616 -97.74488),-97.74488,13th & San Antonio,3635,active,517,527
65,30.25457,(30.25457 -97.74258),-97.74258,Boardwalk West,3687,active,773,787
66,30.26408,(30.26408 -97.74355),-97.74355,2nd & Congress,2494,active,25917,28843
67,30.26634,(30.26634 -97.74378),-97.74378,4th & Congress,2495,active,24392,27380
68,30.2678,(30.2678 -97.75189),-97.75189,3rd & West,2552,active,15342,13180
69,30.2696,(30.2696 -97.75332),-97.75332,5th & Bowie,2501,active,26103,24624
70,30.26416,(30.26416 -97.73289),-97.73289,5th & San Marcos,2564,moved,7187,6999
71,30.27654,(30.27654 -97.74155),-97.74155,State Capitol @ 14th & Colorado,2541,active,4708,3591
